Latitude,Longitude,Tenure Months,Monthly Charges,Total Charges,target,CLTV,avg_ticket,Total Charges Log,avg_ticket_log,Gender_Male,Senior Citizen_Yes,Partner_Yes,Dependents_Yes,Phone Service_Yes,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_One year,Contract_Two year,Paperless Billing_Yes,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check
33.92128,-118.274186,15,99.1,1426.4,1,2966,89.15,7.263609886536967,4.501474949649326,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
34.044271,-118.185237,8,80.65,633.3,1,5302,70.36666666666666,6.4525220286398515,4.267830906927528,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
34.108833,-118.229715,18,95.45,1752.55,1,3179,92.23947368421052,7.4693975835734765,4.5351711694091374,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
34.063947,-118.383001,9,94.4,857.25,1,5571,85.725,6.754895432337801,4.4627421928558135,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
33.97803,-118.217141,1,79.35,79.35,1,2483,39.675,4.386392092183521,3.7056136531051016,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
33.923573,-118.200669,7,75.15,496.9,1,3457,62.1125,6.210399253648137,4.144918848185034,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33.977468,-118.445475,12,78.95,927.35,1,5806,71.33461538461539,6.83340881685348,4.281302788926551,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33.956445,-118.358634,5,21.05,113.85,1,2604,18.974999999999998,4.743626929135107,2.9944814916523383,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
33.936291,-118.332639,25,98.5,2514.5,1,5337,96.71153846153847,7.830226869931373,4.5820196530123045,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
34.031529,-118.491156,68,110.0,7611.85,1,5034,110.31666666666668,8.937592887972736,4.7123789925035355,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0
33.867257,-118.330794,55,96.75,5238.9,1,5154,93.55178571428571,8.564057693163521,4.549147681380754,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
33.972119,-118.020188,37,76.5,2868.15,1,2793,75.47763157894737,7.961771097640099,4.33699830041514,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33.976678,-118.065875,10,100.25,1064.65,1,5998,96.78636363636365,6.971340220607248,4.582785136198323,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
33.940619,-117.9513,3,74.4,229.55,1,4415,57.3875,5.440467758652715,4.067101825828226,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33.989524,-118.089299,27,78.05,2135.5,1,4638,76.26785714285714,7.66692425508408,4.347278049489735,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
33.391181,-118.421305,25,58.6,1502.65,1,4190,57.79423076923077,7.315650764662011,4.0740437339213305,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0
33.798266,-118.300237,1,35.45,35.45,1,2301,17.725,3.5959414584546674,2.9298595294032834,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
33.840524,-118.148403,2,44.35,81.25,1,2570,27.083333333333332,4.409763389645481,3.335176280564361,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33.79499,-118.065591,1,70.45,70.45,1,3964,35.225,4.268997904375876,3.589749488206746,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
33.736387,-118.284363,8,71.15,563.65,1,2662,62.62777777777777,6.33620607016968,4.153050132507506,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
33.822295,-118.26411,1,45.65,45.65,1,2600,22.825,3.8426729272933526,3.170735449540266,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33.783047,-118.1486,7,95.0,655.5,1,2786,81.9375,6.486922693742851,4.4180873120924264,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
34.196837,-118.142236,20,82.4,1592.35,1,5719,75.82619047619048,7.37359399701373,4.341545603844297,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34.1528,-118.000482,4,70.9,273.0,1,4287,54.6,5.6131281063880705,4.018183201256536,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34.168686,-118.057505,58,45.3,2651.2,1,5444,44.93559322033898,7.883144763243498,3.827240267982894,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0
34.296574,-118.244839,2,104.4,242.8,1,4690,80.93333333333334,5.496348217047172,4.405905908463825,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
34.167465,-118.165327,53,94.85,5000.2,1,4328,92.59629629629629,8.517433162620845,4.53899081321664,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0
34.139402,-118.128658,15,74.45,1145.7,1,5717,71.60625,7.044643531044259,4.285051006279648,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
34.159007,-118.087353,7,76.45,503.6,1,4419,62.95,6.223766036206958,4.158101528024852,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.167926,-118.267539,1,29.95,29.95,1,4534,14.975,3.432372999130605,2.7710250002635983,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.136306,-118.26036,8,84.5,662.65,1,2152,73.62777777777778,6.497754902072211,4.312512794172803,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34.162515,-118.203869,13,79.25,1111.65,1,5142,79.40357142857144,7.014499836412125,4.387058595951724,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
34.182378,-118.262922,1,24.8,24.8,1,4851,12.4,3.250374491927572,2.5952547069568657,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
34.224377,-118.632656,6,91.0,531.0,1,2283,75.85714285714286,6.2766434893416445,4.341948411106471,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0
34.266389,-118.459744,1,79.9,79.9,1,3394,39.95,4.393213824064446,3.7123518102990785,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
34.502432,-118.41459,19,106.6,1934.45,1,3764,96.7225,7.568095136565964,4.582131829361515,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
34.231053,-118.338307,2,46.0,84.5,1,2667,28.166666666666668,4.448516375942715,3.373026504695459,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
34.364153,-118.615583,4,70.15,268.35,1,2227,53.67,5.596011649126543,4.001315112906908,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
34.223768,-118.445461,4,50.05,179.35,1,3394,35.87,5.194899407349548,3.607398212246053,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
34.17847,-118.459472,1,55.2,55.2,1,3638,27.6,4.028916756899646,3.353406717825807,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
34.213049,-118.317651,1,84.6,84.6,1,2484,42.3,4.449685283147696,3.768152635008444,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
34.1692,-118.372498,2,54.4,114.1,1,2556,38.03333333333333,4.745801315727837,3.6644159819355617,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
34.207295,-118.400022,11,95.0,1120.3,1,5980,93.35833333333333,7.022244005466835,4.547099591531993,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
34.097345,-117.906736,15,74.4,1074.3,1,4616,67.14375,6.980354971396481,4.221619444472555,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
34.084747,-117.886844,1,48.55,48.55,1,5687,24.275,3.902982260775997,3.229815764906535,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
34.079934,-118.046695,2,70.4,147.15,1,5687,49.050000000000004,4.998225274019575,3.9130225057612296,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34.074492,-118.01462,1,40.2,40.2,1,5828,20.1,3.7184382563554808,3.0492730404820207,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
34.031441,-117.936436,2,44.6,80.55,1,4884,26.849999999999998,4.401216329067023,3.326832966373293,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
34.038983,-117.991372,3,41.15,132.2,1,2314,33.05,4.891851758106289,3.527830032595521,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
33.976753,-117.897367,13,106.9,1364.3,1,2494,97.45,7.219129463690706,4.589548805085134,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
34.057256,-117.667677,59,19.35,1099.6,1,5084,18.326666666666664,7.003610764625658,2.9614858348253996,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
34.074087,-117.605618,16,94.45,1511.2,1,3810,88.89411764705882,7.32132082312417,4.49863250715725,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
34.042286,-117.756106,1,24.8,24.8,1,5087,12.4,3.250374491927572,2.5952547069568657,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.067932,-117.785168,1,70.6,70.6,1,3338,35.3,4.2710950739666,3.591817741270805,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34.065108,-118.082791,5,85.4,401.1,1,3676,66.85000000000001,5.996700813903228,4.217299386280878,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
34.102119,-117.815532,52,105.05,5624.85,1,4839,106.12924528301888,8.635127326767599,4.67403600537911,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
34.061634,-117.893169,18,95.15,1779.95,1,4643,93.68157894736842,7.484902208779911,4.550519461179399,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
34.074736,-118.145959,1,70.0,70.0,1,4094,35.0,4.2626798770413155,3.58351893845611,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32.827184,-116.703729,8,74.5,606.55,1,4345,67.39444444444445,6.409434476354621,4.225291599757405,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
32.67117,-117.00232,10,44.85,435.4,1,4061,39.58181818181818,6.0785592539589155,3.7033201382687304,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
32.677097,-116.304991,24,76.1,1712.7,1,2018,68.508,7.446410054666804,4.241441853860008,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
32.857946,-116.561917,1,73.6,73.6,1,2565,36.8,4.312140507209715,3.632309102625542,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
32.649787,-116.2237,4,95.45,396.1,1,3677,79.22,5.984188138137206,4.384772860341907,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
32.830852,-116.444601,32,74.9,2303.35,1,4105,69.79848484848485,7.742553920000891,4.259837600025552,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33.200369,-116.192313,5,80.6,415.55,1,5715,69.25833333333334,6.032006502420918,4.25217892514063,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
33.098018,-117.258203,38,80.3,3058.65,1,2071,78.42692307692307,8.026055809319672,4.374837392351264,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0
32.948262,-117.256086,24,93.15,2231.05,1,2212,89.242,7.710675724683985,4.502494950624718,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
32.79697,-116.969082,54,82.45,4350.1,1,4149,79.09272727272727,8.378183965678819,4.383185054355731,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0
33.079834,-117.134275,2,70.35,139.05,1,2671,46.35,4.941999501706118,3.8575668196320874,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33.254497,-117.285879,7,73.85,511.25,1,2473,63.90625,6.238812787119009,4.172943921076386,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33.384345,-117.072619,2,80.6,155.8,1,2683,51.93333333333334,5.054971107916307,3.9690332601449256,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
33.309852,-116.823091,68,75.8,5293.95,1,4903,76.72391304347826,8.57450881512029,4.353162971202171,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0
33.313828,-116.940501,43,104.6,4759.85,1,5250,108.1784090909091,8.468181502712058,4.692983324814118,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0
33.215251,-116.53633,63,103.4,6603.0,1,4352,103.171875,8.795430805040018,4.646042179258388,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
33.25283,-116.986079,2,90.4,168.2,1,4157,56.06666666666666,5.1310814471721224,4.044220175039532,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
32.747484,-117.166877,4,84.8,371.9,1,4939,74.38,5.921310287184775,4.3225419878389895,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
32.741499,-117.127409,21,41.9,840.1,1,4778,38.18636363636364,6.734710558968391,3.6683288198575634,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
32.741859,-117.090353,10,80.25,846.0,1,3598,76.9090909090909,6.741700694652055,4.355542645799409,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
32.774046,-117.142454,27,30.75,805.1,1,2927,28.75357142857143,6.692207804289556,3.3929491728056598,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32.765299,-117.122565,5,96.5,492.55,1,5383,82.09166666666667,6.201624170863897,4.419944416046747,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
32.85723,-117.209774,2,85.65,181.5,1,3878,60.5,5.206750173022546,4.119037174812473,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
32.961064,-117.134917,25,104.95,2566.5,1,3642,98.71153846153847,7.850687941802713,4.6022814020822,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
32.578103,-117.012975,1,50.65,50.65,1,2431,25.325,3.9444901955656477,3.270519058020039,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33.713891,-116.237257,1,90.85,90.85,1,3424,45.425,4.520156811661135,3.8378381072387695,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
33.537646,-116.291089,11,19.95,214.75,1,5888,17.895833333333332,5.374120329963537,2.9389414392072455,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
33.762759,-116.324817,55,85.45,4874.7,1,5502,87.04821428571428,8.492018962867517,4.477884554051883,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
33.948558,-116.516976,34,73.95,2524.45,1,5795,72.12714285714286,7.834174543652333,4.29219960915197,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
32.811001,-115.152865,69,99.45,7007.6,1,4020,100.10857142857144,8.854893245389706,4.616194904119817,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0
33.345825,-115.596574,1,19.9,19.9,1,3351,9.95,3.039749158970765,2.3933394562625097,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
33.906496,-116.569499,1,19.6,19.6,1,3448,9.8,3.0252910757955354,2.379546134130174,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
32.698964,-115.886656,3,81.35,233.7,1,2818,58.425,5.458308102856978,4.0847150132462575,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
32.790282,-115.689559,22,83.3,1845.9,1,3804,80.25652173913043,7.521263836881865,4.397611085547108,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
33.53604,-116.119222,1,75.3,75.3,1,4902,37.65,4.334672938290411,3.654546775033431,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34.667815,-117.536183,61,19.4,1182.55,1,4221,19.073387096774194,7.076273675632399,2.9993949127333126,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
34.55082,-117.122396,12,45.4,518.9,1,2887,39.91538461538461,6.25363648538967,3.711506144286735,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34.248061,-117.29028,60,105.9,6396.45,1,4105,104.85983606557377,8.763654752450451,4.662115917832136,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
34.875144,-116.821698,1,69.55,69.55,1,2792,34.775,4.256321678298823,3.5772493254425144,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34.702766,-116.093376,28,81.05,2227.1,1,5201,76.79655172413793,7.70890448334336,4.354097107890231,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
34.508417,-116.856103,4,101.15,385.9,1,4417,77.17999999999999,5.9581662617064675,4.359013860364809,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
34.238162,-117.534306,7,99.8,673.25,1,2031,84.15625,6.513600962019839,4.4444878042976175,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
34.441123,-117.537886,13,55.95,734.35,1,4498,52.45357142857143,6.600346576346323,3.9788134533598973,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
34.003243,-117.138286,1,55.0,55.0,1,4877,27.5,4.02535169073515,3.349904087274605,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
34.156758,-117.404686,1,74.7,74.7,1,5980,37.35,4.3267781604434035,3.646754527813265,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
34.186211,-117.07683,24,80.25,1861.5,1,4418,74.46,7.529674950253715,4.323602714536165,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
35.824572,-116.274755,5,96.1,453.4,1,4192,75.56666666666666,6.118977867406942,4.338161821026943,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
34.486835,-117.362274,15,69.0,994.8,1,5671,62.175,6.903546434208082,4.145908653274258,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.358321,-117.618263,48,45.3,2145.0,1,4926,43.775510204081634,7.671360923190644,3.801661342724549,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
34.105935,-117.2914,8,83.55,680.05,1,2879,75.5611111111111,6.52363572489335,4.338089259984934,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
34.106922,-117.297553,1,74.35,74.35,1,2814,37.175,4.3221439250725044,3.6421808511046962,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33.890046,-117.455583,2,74.4,139.4,1,4263,46.46666666666667,4.944495491591711,3.8600277103097658,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33.930931,-117.361788,22,43.75,903.6,1,3099,39.28695652173913,6.8074928570437425,3.696027757053398,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0
34.004379,-117.447864,5,28.45,131.05,1,4099,21.84166666666667,4.883180638743141,3.1285863535207397,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33.888323,-117.277533,12,99.7,1238.45,1,2538,95.26538461538462,7.122423011815303,4.5671088005546565,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
